Ia	PRP
mencontohkan	VB
pada	IN
Agustus	NNP
2008	CD
,	Z
permintaan	NN
semen	NN
secara	IN
nasional	JJ
turun	VB
sekitar	IN
2	CD
persen	CD
dibanding	VB
bulan	NN
yang	SC
sama	JJ
pada	IN
Agustus	NNP
2007	CD
.	Z

Sektor	NN
riil	JJ
tidak	NEG
hanya	RB
memerlukan	VB
suku	NN
bunga	NN
yang	SC
rendah	JJ
untuk	SC
kembali	VB
bergerak	VB
,	Z
namun	CC
juga	RB
harus	MD
didukung	VB
insentif	NN
lain	JJ
seperti	IN
fiskal	JJ
atau	CC
pajak	NN
,	Z
debirokratisasi	NN
,	Z
penegakan	NN
hukum	NN
,	Z
pemberantasan	NN
penyelundupan	NN
,	Z
transaksi	NN
ilegal	JJ
dan	CC
lain	JJ
-nya	PRP
.	Z

Akan	MD
tetapi	CC
hal	NN
itu	PR
tidak	NEG
menjadi	VB
masalah	NN
karena	SC
kinerja	NN
semester	NN
I	OD
telah	MD
melampaui	VB
target	NN
,	Z
ujar	VB
-nya	PRP
.	Z

Staf	NNP
Ahli	NNP
Menteri	NNP
Koordinator	NNP
Perekonomian	NNP
M	NNP
Ikhsan	NNP
memperkirakan	VB
2008	CD
merupakan	VB
tahun	NN
terakhir	JJ
Indonesia	NNP
menjadi	VB
importir	NN
minyak	NN
neto	JJ
karena	SC
adanya	NN
penambahan	NN
kapasitas	NN
produksi	NN
minyak	NN
serta	CC
penghematan	NN
bahan bakar	NN
minyak	NN
dari	IN
dalam negeri	NN
.	Z

PT	NNP
Citra	NNP
Marga	NNP
Nusaphala	NNP
Tbk	NNP
memproyeksikan	VB
laba bersih	NN
akhir	NN
2006	CD
sekitar	IN
Rp	SYM
100	CD
miliar	CD
,	Z
atau	CC
meningkat	VB
23,46	CD
persen	CD
dibanding	VB
tahun	NN
sebelum	SC
-nya	PRP
sebesar	JJ
Rp	SYM
81	CD
miliar	CD
.	Z

Menurut	IN
Dwi	NNP
,	Z
pencapaian	NN
kinerja	NN
keuangan	NN
perusahaan	NN
sangat	RB
tergantung	VB
permintaan	NN
dan	CC
pergerakan	NN
harga	NN
produk	NN
semen	NN
di	IN
pasaran	NN
.	Z

Sektor-sektor	NN
itu	PR
adalah	VB
konstruksi	NN
